Name,Formula,Category,G. cal mol-1,SD. cal mol-1,S. cal mol-1 °K-1,SD. cal mol-1 °K-1,V. cm3 mol-1,SD. cm3 mol-1,a. cal mol-1 °K-1,SD. cal mol-1 °K-1,b·1000. cal mol-1 °K-1,SD·1000. cal mol-1 °K-1,c·10-5. cal mol-1 °K-1,SD·10-5. cal mol-1 °K-1,,,,,,,,,,Tmax. °K,EactH+,lgKH+,nH+,nFe+++,pH+,qH+,EactH2O,lgKH2O,nO2,pH2O,qH2O,EactOH-,lgKOH-,mOH-,pOH-,qOH-,EactPCO2,logKPCO2,nPCO2,pPCO2,qPCO2,Reaction,References to constants,References to uncertainties,References to kinetics,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHLORAPATITE,Ca(5)P(3)O(12)Cl(1),min,-1482202,1195,109.23,0.0055,164025,,109.61,,18.45,,-22.29,,,,,,,,,,,1000,59751,-3.73,613,,1,1,59751,-8,,1,1,,,,,,,,,,,5Ca+2,+,3PO4-3,+,Cl-,Tacker,and,Stormer.,1989,Tacker,and,Stormer.,1989,from,Fluorapatite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRYSOTILE,Mg(3)Si(2)O(9)H(4),min,-964871,234,52.9,96,108.5,0.2,75.82,,31.6,,-17.58,,,,,,,,,,,1000,,,,,,,17567,-12,,1,1,17567,-10.36,0.23,1,1,,,,,,3Mg+2,+,2SiO2.aq,+,5OH-,-,H+,Helgeson,et,al..,1978,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLINOCHLORE,Mg(5)Al(2)Si(3)O(18)H(8),min,-1961703,370,111.2,1.79,207.11,0.25,166.5,,42.1,,-37.47,,,,,,,,,,,900,21033,-11.11,0.5,,1,1,21033,-12.52,,1,1,,,,,,,,,,,5Mg+2,+,2Al+3,+,3SiO2.aq,+,12OH-,-,4H+,Helgeson,et,al..,1978,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPHNITE,Fe(5)Al(2)Si(3)O(18)H(8),min,-1550482,370,142.5,1.79,213.42,0.25,176.21,,43.76,,-33.82,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,5Fe+2,+,2Al+3,+,3SiO2.aq,+,12OH-,-,4H+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIASPORE,Al(1)O(2)H(1),min,-218402,251,8.43,0.0239,17.76,15,14435,,4.2,,0,,,,,,,,,,,500,,,,,,,11353,-13.33,,1,1,11353,-2558,1503,1,1,,,,,,Al+3,+,2OH-,-,H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICKITE,Al(2)Si(2)O(9)H(4),min,-907266,251,47.11,155,98.56,0.02,72.77,,29.2,,-21.52,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,Helgeson,et,al..,1978;,Robie,et,al..,1979;,Robie,and,Hemingway.,1995,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLOMITE,Ca(1)Mg(1)C(2)O(6),min,-517760,139,37.09,0.03585,64365,15,41557,,23952,,-9884,,,,,,,,,,,1000,13552,-3.76,0.5,,1,1,22777,-8.6,,1,1,,,,,,10923,-5.37,0.5,1,1,Ca+2,+,Mg+2,+,2CO3-2,Helgeson,et,al..,1978;,Shock,and,Helgeson.,1988,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,Hydrothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAYALITE,Fe(2)Si(1)O(4),min,-330233,155.5,35.45,0.0239,46.39,5,36.51,,9.36,,-6.7,,,,,,,,,,,1490,22562,-4.8,1,,1,1,22562,-12.8,,1,1,,,,,,,,,,,2Fe+2,+,SiO2.aq,+,2OH-,-,2H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERROACTINOLITE,Ca(2)Fe(5)Si(8)O(24)H(2),min,-2349712,688,169.69,3.1,284.2,0.3,204.58,,47.0758,,-49453,,,,,,,,,,,800,4517,-8.4,0.7,,1,1,22562,-10.6,,1,1,,,,,,,,,,,2Ca+2,+,5Fe+2,+,8SiO2.aq,+,8OH-,-,6H+,Holland,and,Powell.,2011,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Jenkins,and,Bozhilov.,2003,the,same,as,for,tremolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUORAPATITE,Ca(5)P(3)O(12)F(1),min,-1642447,597.5,92.71,0.2,157.56,0.06,116.89,,10.78,,-28.07,,,,,,,,,,,1600,59751,-3.73,613,,1,1,59751,-8,,1,1,,,,,,,,,,,5Ca+2,+,3PO4-3,+,HF.aq,-,H+,Robie,and,Hemingway.,1995,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUORITE,Ca(1)F(2),min,-280493,239,16.39,36,24542,5,14.3,,7.28,,0.47,,,,,,,,,,,1424,17447,-7.14,1,,1,1,17447,-13.79,,1,1,,,,,,,,,,,Ca+2,+,2F-,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUORPHLOGOPITE,K(1)Mg(3)Al(1)Si(3)O(10)F(2),min,-1437787,502,80.38,0.25,146.37,0.05,96.13,,26.74,,-20.41,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,Helgeson,et,al..,1978;,Robie,et,al..,1979,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSTERITE,Mg(2)Si(1)O(4),min,-491564,239,22.75,0.01195,43.79,15,35.81,,6.54,,-8.52,,,,,,,,,,,1800,16061,-6.85,0.47,,1,1,18881,-10.64,,1,1,,,,,,,,,,,2Mg+,+,SiO2.aq,+,2OH-,-,2H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIBBSITE,Al(1)O(3)H(3),min,-276168,143.5,16.75,12,31956,0.01,8.65,0.02,45.6,,0,,,,,,,,,,,425,11353,-7.65,992,,1,1,14627,-11.5,,1,1,19144,-5674,784,1,1,,,,,,Al+3,+,3OH-,Helgeson,et,al..,1978,SD(G).,SD(S).,SD(V):,Robie,and,Hemingway.,1995;,SD(Cp):,Hemingway,and,Sposito.,1989,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOETHITE,Fe(1)O(2)H(1),min,-117256,179,14.27,24,20881,0.02,0.2978,,55.74,,0.750239,,,,,,,,,,,375,,,,,,,20674,-7.94,,1,1,,,,,,,,,,,Fe+3,+,2OH-,-,H+,Majzlan,et,al..,2003;,Navrotsky,et,al..,2008;,Shock.,2009,SD(G).,SD(S):,Navrotsky,et,al..,2008;,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALITE,Na(1)Cl(1),min,-91826,11.95,17.23,24,27015,3,10.98,,3.9,,0,,,,,,,,,,,1073,,,,,,,1769,-0.21,,1,1,,,,,,,,,,,Na+,+,Cl-,Helgeson,et,al..,1978;,Robie,and,Hemingway.,1995,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMATITE,Fe(2)O(3),min,-177916,155.35,20.89,24,30274,5,23.49,,18.6,,-3.55,,,,,,,,,,,950,15822,-9.39,1,,1,1,15822,-14.6,,1,1,,,,,,,,,,,2Fe+3,+,3OH-,-,3H+,Helgeson,et,al..,1978;,Robie,and,Hemingway.,1995,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDROMAGNESITE,Mg(5)C(4)O(18)H(10),min,-1401577,131,120.39,191,211.1,0.05,141.46,,65.28,,-21.67,,,,,,,,,,,1000,3466,-6.38,589,,4,1,5617,-9.34,,4,1,,,,,,,,,,,5Mg+2,+,4CO3-2,+,6OH-,+,4H+,Helgeson,et,al..,1978;,Robie,and,Hemingway.,1995,Robie,and,Hemingway.,1995,the,same,as,for,magnesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDROXYAPATITE,Ca(5)P(3)O(13)H(1),min,-1514603,598,93.3,203,159.6,0.1,111.51,,22.75,,-23.04,,,,,,,,,,,1500,59751,-4.29,171,,1,1,59751,-6,,1,1,,,,,,,,,,,5Ca+2,+,3PO4-3,+,OH-,Robie,and,Hemingway.,1995,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILLITE,K(0.762)Na(0.044)Si(3.387)Al(2.04)Mg(0.241)Fe(0.376)O(12)H(2),min,-1277529,2029,77.66,0.0135,139.18,,75.87,0.00797,66.71,,-15.42,,,,,,,,,,,480,8150,-5801,586,,1,1,8150,-9092,,1,1,8150,-5996,0.76,1,1,,,,,,0.5K+,+,0.22Mg+2,+,2.06Al+3,+,3.72SiO2.aq,+,4.56OH-,-,2.56H+,Gailhanou,et,al..,2012,Gailhanou,et,al..,2012,Alekseev.,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILMENITE,Fe(1)Ti(1)O(3),min,-276171,299,26.03,0.0359,31.69,0.04,27867,,4463,,-4789,,,,,,,,,,,1640,9058,-8.35,421,,1,1,9058,-11.16,,1,1,,,,,,,,,,,Fe+2,+,Ti(OH)3+,-,3H+,Robie,and,Hemingway.,1995,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAOLINITE,Al(2)Si(2)O(9)H(4),min,-905614,179,48.53,0.0598,99.52,5,72.77,,29.2,,-21.52,,,,,,,,,,,1000,15750,-11.31,777,,0.85,1,5306,-13.18,,1,1,4278,-10442,472,1,1,,,,,,2Al+3,+,2SiO2.aq,+,5OH-,-,H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGNESITE,Mg(1)C(1)O(3),min,-245658,76,15.7,0.01195,28018,5,19731,,12539,,-4748,,,,,,,,,,,1000,3442,-6.38,1,,4,1,5617,-9.34,,4,1,,,,,,15010,-5.22,1,4,1,Mg+2,+,CO3-2,Helgeson,et,al..,1978,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGNETITE,Fe(3)O(4),min,-242574,251,34.83,0.0478,44524,5,21.88,,48.2,,0,,,,,,,,,,,900,4446,-8.59,279,,1,1,4446,-10.78,,1,1,,,,,,,,,,,Fe+2,+,2Fe+3,+,4OH-,-,4H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROCLINE,K(1)Al(1)Si(3)O(8),min,-895374,251,51.13,0.0478,108741,0.05,63.83,,12.9,,-17.05,,,,,,,,,,,1400,12357,-10.06,0.5,,0.16,1.4,9082,-12.41,,0.16,1.4,22490,-9.68,823,0.16,1.4,,,,,,K+,+,Al+3,+,3SiO2.aq,+,2OH-,-,2H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,the,same,as,for,K-feldspar;,p,and,q,from,sanidine,Alekseyev,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONT-Ca,Si(4)Al(1.667)Mg(0.333)Ca(0.167)O(12)H(2),min,-1268561,4229,62615,209,130,,67.29,224,73.65,246,-18.54,0.0618,,,,,,,,,,500,11472,-12.71,0.22,,1,1,11472,-14.41,,1,1,11472,-12.59,0.13,1,1,,,,,,0.167Ca+,+,0.333Mg+2,+,1.667Al+3,+,4SiO2.aq,+,4OH-,-,2H+,Vieillard,et,al..,2004,Vieillard,et,al..,2004,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONT-K,Si(4)Al(1.667)Mg(0.333)K(0.333)O(12)H(2),min,-1269532,4232,65086,217,132,,73019,243,59974,0.2,-15717,0.0524,,,,,,,,,,500,11472,-12.71,0.22,,1,1,11472,-14.41,,1,1,11472,-12.59,0.13,1,1,,,,,,0.333K+,+,0.333Mg+2,+,1.667Al+3,+,4SiO2.aq,+,4OH-,-,2H+,Vieillard,et,al..,2004,Vieillard,et,al..,2004,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONT-Na,Si(4)Al(1.667)Mg(0.333)Na(0.333)O(12)H(2),min,-1267469,4225,64751,216,130,,71965,0.24,59109,197,-15.49,0.0516,,,,,,,,,,500,11472,-12.71,0.22,,1,1,11472,-14.41,,1,1,11472,-12.59,0.13,1,1,,,,,,0.333Na+,+,0.333Mg+2,+,1.667Al+3,+,4SiO2.aq,+,4OH-,-,2H+,Vieillard,et,al..,2004,Vieillard,et,al..,2004,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUSCOVITE,K(1)Al(3)Si(3)O(12)H(2),min,-1336301,693,68.8,0.0717,140.71,0.05,97.56,,26.38,,-25.44,,,,,,,,,,,1000,5258,-11.85,0.37,,1,1,5258,-13.55,,1,1,5258,-11.47,0.22,1,1,,,,,,K+,+,3Al+3,+,3SiO2.aq,+,6OH-,-,4H+,Helgeson,et,al..,1978,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONTRONITE,K(0.02)Ca(0.247)Mg(0.068)Fe(1.688)Si(3.458)Al(0.818)O(12)H(2),min,-1119694,1372,79.53,0.56,136.38,,69.28,27,86.78,,-13.37,,,,,,,,,,,375,5641,-10.98,0.34,,1,1,8365,-12.78,,1,1,14077,-10.92,0.4,1,1,,,,,,0.247Ca+2,+,0.02K+,+,0.068Mg+2,+,1.688Fe+2,+,3.458SiO2.aq,+,0.818Al+3,+,5.084OH-,-,3.084H+,Gailhanou,et,al..,2013,Gailhanou,et,al..,2013,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAGONITE,Na(1)Al(3)Si(3)O(12)H(2),min,-1326012,466,66.4,108,132.53,0.05,97.43,,24.5,,-26.44,,,,,,,,,,,1000,,,,,,,5258,-13,,1,1,,,,,,,,,,,Na+,+,3Al+3,+,3SiO2.aq,+,6OH-,-,4H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHLOGOPITE,K(1)Mg(3)Al(1)Si(3)O(12)H(2),min,-1396187,717,76.1,0.12,149.66,0.05,100.61,,28.78,,-21.5,,,,,,,,,,,1000,,,,,,,6931,-12.4,,1,1,,,,,,,,,,,K+,+,3Mg+2,+,Al+3,+,3SiO2.aq,+,6OH-,-,4H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREHNITE,Ca(2)Al(2)Si(3)O(12)H(2),min,-1390097,239,65,0.0837,140.33,0.05,91.6,,37.82,,-19.6,,,,,,,,,,,848,19240,-10.66,256,,1,1,22323,-13.16,,1,1,22323,-12.06,0.2,1,1,,,,,,2Ca+2,+,2Al+3,+,3SiO2.aq,+,6OH-,-,4H+,Helgeson,et,al..,1978;,Shock,and,Helgeson.,1988,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYRITE,Fe(1)S(2),min,-38293,306,12.65,0.01195,23.94,5,17.88,,1.32,,-3.05,,,,,,,,,,,1000,13599,-7.52,-0.5,0.5,1,1,13599,-4.55,0.5,1,1,,,,,,,,,,,Fe+2,+,OH-,+,2HS-,-,H2O.aq,-,H+,Helgeson,et,al..,1978,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYRRHOTITE,Fe(1)S(1),min,-24084,320,14412,24,18.2,15,5.19,,26.4,,0,,,,,,,,,,,411,12141,-8.04,-597,355,1,1,,,,,,,,,,,,,,,,Fe+2,+,HS-,-,H+,Helgeson,et,al..,1978,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,monoclinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUARTZ,Si(1)O(2),min,-204646,65,9.88,0.01195,22688,0.0005,11.22,,8.2,,-2.7,,,,,,,,,,,848,,,,,,,5569,-13.99,,1,1,,,,,,,,,,,SiO2.aq,Helgeson,et,al..,1978,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHODOCHROSITE,Mn(1)C(1)O(3),min,-195045,98,23.9,0.01195,31075,5,21.99,,9.3,,-4.69,,,,,,,,,,,700,3442,-6.38,1,,4,1,5617,-9.34,,4,1,,,,,,15010,-5.22,1,4,1,Mn+2,+,CO3-2,Helgeson,et,al..,1978,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,from,Siderite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHODONITE,Mn(1)Si(1)O(3),min,-297490,263,24.02,0.1195,34.94,25,100.86,,26.22,,-24.48,,,,,,,,,,,1500,4446,-8.59,279,,1,1,4446,-10.78,,1,1,,,,,,,,,,,Mn+2,+,SiO2.aq,+,OH-,-,H+,Robie,and,Hemingway.,1995,Robie,and,Hemingway.,1995,from,Magnetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUTILE,Ti(1)O(2),min,-212428,120,12.09,0.0717,18.82,5,15.01442,,2.720501,,-2.365364,,,,,,,,,,,1800,9058,-8.35,421,,1,1,9058,-11.16,,1,1,,,,,,,,,,,Ti(OH)4.aq,-,2H2O.aq,Robie,et,al..,1979;,Bowers,and,Helgeson.,1983;,Robie,and,Hemingway.,1995,Robie,and,Hemingway.,1995,from,Ilmenite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANIDINE,K(1)Al(1)Si(3)O(8),min,-893738,490,54.53,0.0598,109008,0.05,63.83,,12.9,,-17.05,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAPONITE,Na(0.394)K(0.021)Ca(0.038)Mg(2.949)Fe(0.055)Si(3.569)Al(0.397)O(12)H(2),min,-1343795,1166,75.18,124,141.66,,82997,139,65.65,,-17.46,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,Gailhanou,et,al..,2013,Gailhanou,et,al..,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIDERITE,Fe(1)C(1)O(3),min,-162414,657,25.1,24,29378,5,11.63,,26.8,,0,,,,,,,,,,,885,3442,-6.38,1,,4,1,5617,-9.34,,4,1,,,,,,15010,-5.22,1,4,1,Fe+2,+,CO3-2,Helgeson,et,al..,1978;,Helgeson.,1985,Robie,and,Hemingway.,1995,the,same,as,for,Magnesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMECTITE,Na(0.409)K(0.024)Ca(0.009)Mg(0.214)Fe(0.208)Si(3.738)Al(1.86)O(12)H(2),min,-1265098,1279,72161,0.01195,134.92,,76.38,8,67.42,,-17.44,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,Gailhanou,et,al..,2012,Gailhanou,et,al..,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPINEL,Mg(1)Al(2)O(4),min,-517006,275,19.27,478,39.71,15,36.772808,,6.415456,,-9.708792,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STELLERITE,Ca(2)Al(4)Si(14)O(50)H(28),min,-4762036,100,383.54,4.47,666.5,333,427.22,,151.28,,-85.46,,,,,,,,,,,500,8890,-10.16,457,,1,2,8890,-12.56,,1,2,8890,-7592,572,1,2,,,,,,2Ca+2,+,4Al+3,+,14SiO2.aq,+,6H2O.aq,+,16OH-,Fridriksson,et,al..,2001,Fridriksson,et,al..,2001,Eact.,p.,q,from,Barnes,et,al..,2000.,K,the,same,as,for,albite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
